Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Diabetes diagnosis (female),Coded,Type 1 DM | Type 2 DM | Gestational | Not yet specified,radio,Yes,Included only for NCD intake,PIH:DIAGNOSIS,CIEL:142474|CIEL:142473|PIH:Gestational diabetes|CIEL:119481,Visit Diagnoses,PIH:Visit Diagnoses
Diabetes diagnosis (male),Coded,Type 1 DM | Type 2 DM | Not yet specified,radio,Yes,Included only for NCD intake,PIH:DIAGNOSIS,CIEL:142474|CIEL:142473|CIEL:119481,Visit Diagnoses,PIH:Visit Diagnoses
Suggested treatment (rendered text),Other,See treatment text,info,No,no,,,,
Blood glucose (recent),Numeric,N/A,number,No,no,3cd4e194-26fe-102b-80cb-0017a47871b2,,,
HbA1c (orders/obs),Other,Order options/order widget,order/obs,No,no,159644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,
