Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter date/time,Date,N/A,date/time,Yes,no,encounterDate,,,
Encounter provider/location,Provider/Location,List of available providers & locations,subform,Yes,no,subform:configuration/pih/subforms/encounter-provider-location-date.xml,,,
Included sections,Other,See subform configuration/pih/subforms/encounter-with-sections.xml,info,No,no,,configuration/pih/subforms/encounter-with-sections.xml,,
