Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Labour onset time,Date,N/A,date/time,No,no,CIEL:163444,,,
Membrane status & time,Coded/Date,Intact/Ruptured with time,radio/date,No,no,CIEL:164900|CIEL:160710,,,
Partograph used?,Coded,Yes | No,radio,No,no,PIH:PARTOGRAPH_USED,PIH:YES|PIH:NO,,
Presentation & position,Coded,Vertex | Breech | Transverse,radio,No,no,CIEL:160090|CIEL:163749,,,
Delivery mode,Coded,Vaginal | Assisted | C-section,radio,No,no,PIH:11663,CIEL:1170|CIEL:155884,,
Third stage management (uterotonic),Coded,Yes | No,radio,No,no,PIH:UTEROTONIC_GIVEN,PIH:YES|PIH:NO,,
Maternal complications (PPH,sepsis),Coded,checkbox list,checkbox,No,no,PIH:POSTPARTUM_COMPLICATIONS,CIEL:...,
Newborn immediate outcomes (APGAR,resuscitation),Other,APGAR + resuscitation,number & checkbox,No,no,PIH:14419|CIEL:162131,,
Disposition & transfer,Other,Disposition widget,disposition widget,Yes,no,,,,
