Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Program enrollment,Other,NCD enroll action,enrollInProgram,Yes,no,,,,
Treatment plan / plan text,Text,N/A,textarea,No,no,CIEL:163104,,,
Lab test orders,Other,Order widget (many options),order,No,no,orderTemplate options (lab concept ids),,,
Radiology orders,Other,Order widget (chest x-ray),order,No,no,PIH:Radiology report construct,,,
Apply disposition/ADT,Other,Disposition widget,disposition widget,Yes,no,,,,
