Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
General appearance,Coded,Well | Ill | Severe,radio,No,no,CIEL:...,,,
Temperature,Numeric,N/A,number,No,no,CIEL:...,,,
Heart exam findings,Text/N/A,textarea,No,no,CIEL:163046,,,,
Lung exam findings,Text/N/A,textarea,No,no,CIEL:...,,,,
Abdominal exam findings,Text/N/A,textarea,No,no,CIEL:...,,,,
Neurological exam,Text/N/A,textarea,No,no,PIH:11570,,,,
Peripheral edema,Coded,Yes | No,radio,No,no,CIEL:...,CIEL:1065|CIEL:1066,,
Skin/rashes,Text/N/A,textarea,No,no,CIEL:160981,,,,
Comments,Text,N/A,textarea,No,no,CIEL:161011,,,
