Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Address - Country/Region,Text,N/A,text,No,no,person.address.country,,,
Province/District,Text,N/A,text,No,no,person.address.stateProvince,,,
Commune/Sector,Text,N/A,text,No,no,person.address.countyDistrict,,,
Cell/Village,Text,N/A,text,No,no,person.address.cityVillage,,,
Street/landmark,Text,N/A,text,No,no,person.address.address1,,,
GPS coordinates,Text,N/A,text,No,no,person.address.gps,,,
Telephone number,Text,N/A,text,No,no,personAttribute:Telephone Number,,,
