Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Checkin date,Date,N/A,date,Yes,no,,,,
Provider,Provider,List of available providers,provider select,Yes,no,,,,
Location,Location,List of available locations,location select,Yes,no,,,,
Type of visit,Coded,Outpatient visit | Sick Visit | ANC | Labour and Delivery | Family Planning | Immunization | Malnutrition | HIV | TB | Mental Health | NCD,dropdown,No,no,PIH:REASON FOR VISIT,,,
Appointments,Other,Appointment entries,appointments widget,No,no,,,,
